category_id,category_title,act_title,act_url,pdf_url,saved_path,status
2,Civil Laws,"Court-Fees Act, 1870",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apaUY2FqZps%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator9d60b89fa3dd51147d677e764c8772e3.pdf,pakistan_code_pdfs\administrator9d60b89fa3dd51147d677e764c8772e3.pdf,downloaded
2,Civil Laws,"Diplomatic and Consular Officers (Oaths and Fees) Act, 1948",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-ap%2BUaQ%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorcbb1ad05a6c91333ccb0da0e2d7c123a.pdf,pakistan_code_pdfs\administratorcbb1ad05a6c91333ccb0da0e2d7c123a.pdf,downloaded
2,Civil Laws,"Diplomatic and Consular Privileges Act, 1972",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-bpuUY2Nw-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator7cee6780c21d6e69d03a695be5d1a869.pdf,pakistan_code_pdfs\administrator7cee6780c21d6e69d03a695be5d1a869.pdf,downloaded
2,Civil Laws,"Diplomatic Immunities (Common wealth Countries Representatives), Act, 1957",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-ap%2Bcaw%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator92a7b7021d0f08ffc18e422d15735e65.pdf,pakistan_code_pdfs\administrator92a7b7021d0f08ffc18e422d15735e65.pdf,downloaded
2,Civil Laws,"Diplomatic Immunities (Conferences with Common wealth Countries) Act, 1963",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJmc-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorb471549df99ab0f2ddc48782a0315e6f.pdf,pakistan_code_pdfs\administratorb471549df99ab0f2ddc48782a0315e6f.pdf,downloaded
2,Civil Laws,"Dramatic Performances Act, 1876",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-bJ0%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator95beb1cbbbc3188503d90096b5cd1be4.pdf,,"error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2,Civil Laws,"Easements Act, 1882",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-bpo%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator60670d614d75e2e43264070cfeefe0cb.pdf,pakistan_code_pdfs\administrator60670d614d75e2e43264070cfeefe0cb.pdf,downloaded
2,Civil Laws,"Enemy Property (Continuance of Emergency Provisions) Ordinance, 1969",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cZac-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratore2688f380a1b6331f72585033581d491.pdf,pakistan_code_pdfs\administratore2688f380a1b6331f72585033581d491.pdf,downloaded
2,Civil Laws,"Evacuee Trust Properties (Management and Disposal) Act, 1975",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-bpuUZWNp-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator9d6044552dddd25e9550942e2163e5da.pdf,pakistan_code_pdfs\administrator9d6044552dddd25e9550942e2163e5da.pdf,downloaded
2,Civil Laws,"Fatal Accidents Act, 1855",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cg%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorce4c3de80f90b28e7c9548a78fb717c2.pdf,pakistan_code_pdfs\administratorce4c3de80f90b28e7c9548a78fb717c2.pdf,downloaded
